CIFNumber,Customer Name,Customer-since,DateofBirth,Gender,City,Existingloans-to-income-ratio,Creditscore,Monthly-Income,Profession,Loan-productname,Date-loan-given,Loan-Tenor-in-months,NO of Months From Loan Date, LoanAmount , InterestRate , EquatedMonthlyInstalment , NumberofInstalmentsPaid , Numberofinstalments-paid-byDue-date , Numberofinstalments-paid afterDuedate , NumberofInstalments-NotPaidasoftoday , PrincipalAmountOutstanding , InterestAmountOutstandingas of today ,Numberofcallsmade,Response, Lessthan30daysoutstandingprincipalplusinterest , 30ormorebutlessthan60daysoutstandingprincipalplusinterest , 60ormorebutlessthan90daysoutstandingprincipalplusinterest , 90ormorebutlessthan 180daysoutstandingprincipalplusinterest , 180daysormoreoutstandingprincipalplusinterest ,Interestaccrualstopdate,FB Field 1,FB Field 2,FB Field 3,Twitter Field 1,Twitter Field 2,LInkedIn 1,LinkedIn2
1313001162,Hiranyagarbha Aggarwal,2/20/2004,1/3/1981,Male,Nagpur,13,791,40k to 60k,Public Sector Employee,Personal Loan,10/29/2014,36,12," 135,751.00 ", 12.50 ," (4,541.36)", 12.00 , 12.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001177,Vritra Maharaj,10/20/2006,2/24/1984,Male,Nagpur,8,507,15k to 25k,Small Bussiness Owner,Auto Loan,8/11/2013,18,26," 272,368.00 ", 10.50 ," (16,420.40)", 24.00 , 10.00 , 14.00 , 2.00 ," 30,263.11 "," (63,103.91)",0,N/A, -   ," (32,840.80)", -   , -   , -   ,,,,,,,,
1313001177,Vritra Maharaj,10/20/2006,2/24/1984,Male,Nagpur,13,574,15k to 25k,Small Bussiness Owner,Personal Loan,12/6/2012,18,34," 69,373.00 ", 12.50 ," (4,246.64)", 31.00 , 8.00 , 23.00 , 3.00 ," 11,562.17 "," (24,302.08)",0,N/A, -   , -   ," (12,739.91)", -   , -   ,,,,,,,,
1313001192,Lakshmana Krishna,3/9/2012,12/18/1956,Female,Nagpur,1,657,upto 15000,Private Sector Employee,Home Loan,3/5/2014,24,19," 643,593.00 ", 11.50 ," (30,146.10)", 18.00 , 8.00 , 10.00 , 1.00 ," 26,816.38 "," (56,962.47)",0,N/A," (30,146.10)", -   , -   , -   , -   ,,,,,,,,
1313001192,Lakshmana Krishna,3/9/2012,12/18/1956,Female,Nagpur,8,701,upto 15000,Private Sector Employee,Personal Loan,3/29/2015,30,7," 84,050.00 ", 12.50 ," (3,276.64)", 5.00 , 1.00 , 4.00 , 2.00 ," 5,603.33 "," (12,156.61)",0,N/A, -   ," (6,553.28)", -   , -   , -   ,,,,,,,,
1313001207,Azhar Mittal,10/20/2001,10/17/1976,Male,Nagpur,16,862,upto 15000,Private Sector Employee,Auto Loan,12/19/2013,18,22," 308,318.00 ", 10.50 ," (18,587.74)", 21.00 , 20.00 , 1.00 , 1.00 ," 17,128.78 "," (35,716.52)",0,N/A," (18,587.74)", -   , -   , -   , -   ,,,,,,,,
1313001207,Azhar Mittal,10/20/2001,10/17/1976,Male,Nagpur,0,900,upto 15000,Private Sector Employee,Personal Loan,11/2/2014,24,11," 107,703.00 ", 12.50 ," (5,095.14)", 9.00 , 7.00 , 2.00 , 2.00 ," 8,975.25 "," (19,165.53)",0,N/A, -   ," (10,190.28)", -   , -   , -   ,,,,,,,,
1313001222,Vasuki Oommen,9/1/2009,12/30/1967,Male,Nagpur,15,597,40k to 60k,Public Sector Employee,Home Loan,12/10/2013,30,22," 552,826.00 ", 11.50 ," (21,290.80)", 21.00 , 15.00 , 6.00 , 1.00 ," 18,427.53 "," (39,718.34)",0,N/A," (21,290.80)", -   , -   , -   , -   ,,,,,,,,
1313001222,Vasuki Oommen,9/1/2009,12/30/1967,Male,Nagpur,0,900,40k to 60k,Public Sector Employee,Personal Loan,6/23/2014,18,16," 52,860.00 ", 12.50 ," (3,235.80)", 14.00 , 4.00 , 10.00 , 2.00 ," 5,873.33 "," (12,344.94)",0,N/A, -   ," (6,471.60)", -   , -   , -   ,,,,,,,,
1313001237,Vivek Thaker,1/18/2010,8/13/1956,Male,Nagpur,8,518,100k to 200k,Bussiness Owner,Auto Loan,2/26/2013,24,32," 288,683.00 ", 10.50 ," (13,387.97)", 32.00 , 27.00 , 5.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001237,Vivek Thaker,1/18/2010,8/13/1956,Male,Nagpur,11,551,100k to 200k,Bussiness Owner,Personal Loan,1/8/2013,24,33," 153,387.00 ", 12.50 ," (7,256.33)", 33.00 , 32.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001252,Indra Menon,1/26/2015,1/25/1983,Female,Nagpur,3,621,upto 15000,Private Sector Employee,Auto Loan,8/22/2014,18,14," 379,340.00 ", 10.50 ," (22,869.48)", 14.00 , 11.00 , 3.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001252,Indra Menon,1/26/2015,1/25/1983,Female,Nagpur,19,684,upto 15000,Private Sector Employee,Personal Loan,11/15/2013,24,23," 134,086.00 ", 12.50 ," (6,343.25)", 20.00 , 11.00 , 9.00 , 3.00 ," 16,760.75 "," (35,790.49)",0,N/A, -   , -   ," (19,029.74)", -   , -   ,,,,,,,,
1313001267,Priyamkara Thaman,7/9/2011,7/4/1956,Male,Nagpur,11,509,25k to 40k,Private Sector Employee,Home Loan,10/31/2014,18,12," 555,057.00 ", 11.50 ," (33,719.73)", 9.00 , 7.00 , 2.00 , 3.00 ," 92,509.50 "," (193,668.70)",0,N/A, -   , -   ," (101,159.20)", -   , -   ,,,,,,,,
1313001267,Priyamkara Thaman,7/9/2011,7/4/1956,Male,Nagpur,3,516,25k to 40k,Private Sector Employee,Personal Loan,4/14/2014,24,18," 151,626.00 ", 12.50 ," (7,173.02)", 15.00 , 1.00 , 14.00 , 3.00 ," 18,953.25 "," (40,472.30)",0,N/A, -   , -   ," (21,519.05)", -   , -   ,,,,,,,,
1313001282,Harischandra Dorjee,12/27/2001,7/9/1976,Male,Nagpur,9,571,100k to 200k,Bussiness Owner,Home Loan,4/6/2014,36,18," 506,840.00 ", 11.50 ," (16,713.56)", 15.00 , 10.00 , 5.00 , 3.00 ," 42,236.67 "," (92,377.34)",0,N/A, -   , -   ," (50,140.68)", -   , -   ,,,,,,,,
1313001282,Harischandra Dorjee,12/27/2001,7/9/1976,Male,Nagpur,3,842,100k to 200k,Bussiness Owner,Personal Loan,11/18/2013,24,23," 169,328.00 ", 12.50 ," (8,010.45)", 20.00 , 13.00 , 7.00 , 3.00 ," 21,166.00 "," (45,197.36)",0,N/A, -   , -   ," (24,031.36)", -   , -   ,,,,,,,,
1313001297,Sulya Khopkar,5/17/2014,6/24/1958,Male,Nagpur,14,745,upto 15000,Private Sector Employee,Home Loan,9/20/2013,36,25," 696,089.00 ", 11.50 ," (22,954.24)", 24.00 , 4.00 , 20.00 , 1.00 ," 19,335.81 "," (42,290.04)",0,N/A," (22,954.24)", -   , -   , -   , -   ,,,,,,,,
1313001297,Sulya Khopkar,5/17/2014,6/24/1958,Male,Nagpur,3,683,upto 15000,Private Sector Employee,Personal Loan,12/26/2013,24,22," 56,471.00 ", 12.50 ," (2,671.49)", 19.00 , 19.00 , -   , 3.00 ," 7,058.88 "," (15,073.35)",0,N/A, -   , -   ," (8,014.47)", -   , -   ,,,,,,,,
1313001312,Chander Khanna,7/21/2002,7/10/1977,Female,Nagpur,9,581,15k to 25k,Small Bussiness Owner,Home Loan,4/3/2013,18,30," 694,657.00 ", 11.50 ," (42,200.44)", 29.00 , 2.00 , 27.00 , 1.00 ," 38,592.06 "," (80,792.50)",0,N/A," (42,200.44)", -   , -   , -   , -   ,,,,,,,,
1313001312,Chander Khanna,7/21/2002,7/10/1977,Female,Nagpur,3,824,15k to 25k,Small Bussiness Owner,Personal Loan,3/31/2013,18,31," 125,777.00 ", 12.50 ," (7,699.38)", 30.00 , 15.00 , 15.00 , 1.00 ," 6,987.61 "," (14,687.00)",0,N/A," (7,699.38)", -   , -   , -   , -   ,,,,,,,,
1313001327,Apu Tak,12/29/2007,3/7/1976,Male,Nagpur,8,703,15k to 25k,Small Bussiness Owner,Auto Loan,10/6/2014,30,12," 373,714.00 ", 10.50 ," (14,217.69)", 10.00 , 10.00 , -   , 2.00 ," 24,914.27 "," (53,349.65)",0,N/A, -   ," (28,435.38)", -   , -   , -   ,,,,,,,,
1313001327,Apu Tak,12/29/2007,3/7/1976,Male,Nagpur,5,624,15k to 25k,Small Bussiness Owner,Personal Loan,12/30/2012,18,34," 142,094.00 ", 12.50 ," (8,698.22)", 32.00 , 22.00 , 10.00 , 2.00 ," 15,788.22 "," (33,184.67)",0,N/A, -   ," (17,396.45)", -   , -   , -   ,,,,,,,,
1313001342,Frashegird Naidu,1/8/2002,2/9/1989,Male,Nagpur,20,520,100k to 200k,Bussiness Owner,Auto Loan,9/21/2014,36,13," 370,480.00 ", 10.50 ," (12,041.51)", 13.00 , 2.00 , 11.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001342,Frashegird Naidu,1/8/2002,2/9/1989,Male,Nagpur,16,720,100k to 200k,Bussiness Owner,Personal Loan,4/19/2014,18,18," 187,485.00 ", 12.50 ," (11,476.81)", 17.00 , 10.00 , 7.00 , 1.00 ," 10,415.83 "," (21,892.65)",0,N/A," (11,476.81)", -   , -   , -   , -   ,,,,,,,,
1313001357,Bodhi Sharma,2/3/2006,4/16/1985,Male,Nagpur,18,530,60k to 100k,Private Sector Employee,Auto Loan,11/20/2013,36,23," 357,595.00 ", 10.50 ," (11,622.71)", 20.00 , -   , 20.00 , 3.00 ," 29,799.58 "," (64,667.72)",0,N/A, -   , -   ," (34,868.13)", -   , -   ,,,,,,,,
1313001357,Bodhi Sharma,2/3/2006,4/16/1985,Male,Nagpur,17,827,60k to 100k,Private Sector Employee,Personal Loan,9/13/2014,30,13," 58,102.00 ", 12.50 ," (2,265.07)", 10.00 , 6.00 , 4.00 , 3.00 ," 5,810.20 "," (12,605.42)",0,N/A, -   , -   ," (6,795.22)", -   , -   ,,,,,,,,
1313001372,Shudra Butala,7/5/2015,6/7/1983,Female,Nagpur,11,718,upto 15000,Private Sector Employee,Home Loan,3/7/2013,24,31," 614,254.00 ", 11.50 ," (28,771.85)", 31.00 , 3.00 , 28.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001372,Shudra Butala,7/5/2015,6/7/1983,Female,Nagpur,1,605,upto 15000,Private Sector Employee,Personal Loan,3/26/2014,24,19," 113,299.00 ", 12.50 ," (5,359.87)", 17.00 , 10.00 , 7.00 , 2.00 ," 9,441.58 "," (20,161.32)",0,N/A, -   ," (10,719.74)", -   , -   , -   ,,,,,,,,
1313001387,Josha Ratti,7/31/2011,8/13/1982,Male,Nagpur,6,745,15k to 25k,Small Bussiness Owner,Home Loan,12/13/2012,30,34," 549,644.00 ", 11.50 ," (21,168.26)", 34.00 , 10.00 , 24.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001387,Josha Ratti,7/31/2011,8/13/1982,Male,Nagpur,9,712,15k to 25k,Small Bussiness Owner,Personal Loan,5/16/2015,24,5," 163,453.00 ", 12.50 ," (7,732.52)", 3.00 , 3.00 , -   , 2.00 ," 13,621.08 "," (29,086.13)",0,N/A, -   ," (15,465.04)", -   , -   , -   ,,,,,,,,
1313001402,Umed Mudaliyar,1/23/2009,7/8/1987,Male,Nagpur,5,621,60k to 100k,Private Sector Employee,Auto Loan,11/17/2013,30,23," 314,709.00 ", 10.50 ," (11,972.89)", 20.00 , 12.00 , 8.00 , 3.00 ," 31,470.90 "," (67,389.56)",0,N/A, -   , -   ," (35,918.66)", -   , -   ,,,,,,,,
1313001402,Umed Mudaliyar,1/23/2009,7/8/1987,Male,Nagpur,12,759,60k to 100k,Private Sector Employee,Personal Loan,6/15/2014,18,16," 81,050.00 ", 12.50 ," (4,961.44)", 13.00 , 7.00 , 6.00 , 3.00 ," 13,508.33 "," (28,392.65)",0,N/A, -   , -   ," (14,884.32)", -   , -   ,,,,,,,,
1313001417,Bali Tailor,7/16/2002,4/30/1958,Male,Nagpur,12,838,60k to 100k,Private Sector Employee,Home Loan,12/28/2014,24,10," 594,192.00 ", 11.50 ," (27,832.14)", 9.00 , 4.00 , 5.00 , 1.00 ," 24,758.00 "," (52,590.14)",0,N/A," (27,832.14)", -   , -   , -   , -   ,,,,,,,,
1313001417,Bali Tailor,7/16/2002,4/30/1958,Male,Nagpur,15,705,60k to 100k,Private Sector Employee,Personal Loan,1/19/2014,30,21," 116,494.00 ", 12.50 ," (4,541.45)", 18.00 , 2.00 , 16.00 , 3.00 ," 11,649.40 "," (25,273.75)",0,N/A, -   , -   ," (13,624.35)", -   , -   ,,,,,,,,
1313001432,Omparkash Nayak,5/13/2001,11/17/1973,Female,Nagpur,8,643,25k to 40k,Private Sector Employee,Home Loan,10/6/2014,24,12," 605,520.00 ", 11.50 ," (28,362.75)", 12.00 , 11.00 , 1.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001432,Omparkash Nayak,5/13/2001,11/17/1973,Female,Nagpur,3,603,25k to 40k,Private Sector Employee,Personal Loan,3/29/2014,18,19," 147,762.00 ", 12.50 ," (9,045.19)", 18.00 , 3.00 , 15.00 , 1.00 ," 8,209.00 "," (17,254.19)",0,N/A," (9,045.19)", -   , -   , -   , -   ,,,,,,,,
1313001447,Mithra Kadakia,10/11/2004,12/2/1962,Male,Nagpur,1,788,15k to 25k,Small Bussiness Owner,Home Loan,7/1/2015,24,3," 574,494.00 ", 11.50 ," (26,909.48)", 3.00 , 3.00 , -   , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001447,Mithra Kadakia,10/11/2004,12/2/1962,Male,Nagpur,9,755,15k to 25k,Small Bussiness Owner,Personal Loan,12/22/2014,30,10," 160,990.00 ", 12.50 ," (6,276.10)", 7.00 , 3.00 , 4.00 , 3.00 ," 16,099.00 "," (34,927.30)",0,N/A, -   , -   ," (18,828.30)", -   , -   ,,,,,,,,
1313001462,Dinesh Nayak,6/9/2005,2/2/1961,Male,Nagpur,20,796,25k to 40k,Private Sector Employee,Home Loan,10/31/2014,36,12," 574,467.00 ", 11.50 ," (18,943.63)", 11.00 , 5.00 , 6.00 , 1.00 ," 15,957.42 "," (34,901.04)",0,N/A," (18,943.63)", -   , -   , -   , -   ,,,,,,,,
1313001462,Dinesh Nayak,6/9/2005,2/2/1961,Male,Nagpur,8,691,25k to 40k,Private Sector Employee,Personal Loan,7/8/2013,30,27," 55,923.00 ", 12.50 ," (2,180.13)", 27.00 , 14.00 , 13.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001477,Shalya Gill,3/19/2008,7/20/1989,Male,Nagpur,14,740,60k to 100k,Private Sector Employee,Auto Loan,11/30/2014,30,11," 287,044.00 ", 10.50 ," (10,920.39)", 8.00 , 7.00 , 1.00 , 3.00 ," 28,704.40 "," (61,465.57)",0,N/A, -   , -   ," (32,761.17)", -   , -   ,,,,,,,,
1313001477,Shalya Gill,3/19/2008,7/20/1989,Male,Nagpur,4,839,60k to 100k,Private Sector Employee,Personal Loan,1/14/2015,24,9," 190,452.00 ", 12.50 ," (9,009.77)", 6.00 , 5.00 , 1.00 , 3.00 ," 23,806.50 "," (50,835.81)",0,N/A, -   , -   ," (27,029.31)", -   , -   ,,,,,,,,
1313001492,Shaka Gupta,3/26/2007,2/14/1978,Female,Nagpur,15,529,100k to 200k,Bussiness Owner,Auto Loan,9/23/2013,24,25," 364,638.00 ", 10.50 ," (16,910.47)", 22.00 , 1.00 , 21.00 , 3.00 ," 45,579.75 "," (96,311.15)",0,N/A, -   , -   ," (50,731.40)", -   , -   ,,,,,,,,
1313001492,Shaka Gupta,3/26/2007,2/14/1978,Female,Nagpur,6,555,100k to 200k,Bussiness Owner,Personal Loan,1/23/2015,36,9," 84,309.00 ", 12.50 ," (2,820.44)", 8.00 , 4.00 , 4.00 , 1.00 ," 2,341.92 "," (5,162.36)",0,N/A," (2,820.44)", -   , -   , -   , -   ,,,,,,,,
1313001507,Aruna Bhagat,10/17/2009,3/10/1977,Male,Nagpur,3,591,40k to 60k,Public Sector Employee,Auto Loan,4/9/2013,36,30," 415,777.00 ", 10.50 ," (13,513.77)", 30.00 , 8.00 , 22.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001507,Aruna Bhagat,10/17/2009,3/10/1977,Male,Nagpur,9,698,40k to 60k,Public Sector Employee,Personal Loan,10/22/2013,18,24," 61,082.00 ", 12.50 ," (3,739.11)", 24.00 , 10.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001522,Gada Choudhry,3/24/2006,4/10/1972,Male,Nagpur,14,803,upto 15000,Private Sector Employee,Home Loan,12/6/2014,18,10," 565,517.00 ", 11.50 ," (34,355.18)", 8.00 , 8.00 , -   , 2.00 ," 62,835.22 "," (131,545.58)",0,N/A, -   ," (68,710.36)", -   , -   , -   ,,,,,,,,
1313001522,Gada Choudhry,3/24/2006,4/10/1972,Male,Nagpur,13,885,upto 15000,Private Sector Employee,Personal Loan,11/16/2013,24,23," 134,838.00 ", 12.50 ," (6,378.82)", 21.00 , 5.00 , 16.00 , 2.00 ," 11,236.50 "," (23,994.15)",0,N/A, -   ," (12,757.65)", -   , -   , -   ,,,,,,,,
1313001537,Tamal Sur,4/29/2008,1/4/1959,Male,Nagpur,20,875,25k to 40k,Private Sector Employee,Home Loan,3/5/2013,24,31," 573,455.00 ", 11.50 ," (26,860.81)", 31.00 , 5.00 , 26.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001537,Tamal Sur,4/29/2008,1/4/1959,Male,Nagpur,8,643,25k to 40k,Private Sector Employee,Personal Loan,6/22/2014,36,16," 169,996.00 ", 12.50 ," (5,686.98)", 16.00 , 2.00 , 14.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001552,Deven Grover,3/31/2003,7/1/1971,Female,Nagpur,5,681,upto 15000,Private Sector Employee,Home Loan,6/6/2015,24,4," 578,092.00 ", 11.50 ," (27,078.01)", 3.00 , 3.00 , -   , 1.00 ," 24,087.17 "," (51,165.18)",0,N/A," (27,078.01)", -   , -   , -   , -   ,,,,,,,,
1313001552,Deven Grover,3/31/2003,7/1/1971,Female,Nagpur,1,745,upto 15000,Private Sector Employee,Personal Loan,8/28/2014,18,14," 173,954.00 ", 12.50 ," (10,648.52)", 13.00 , 1.00 , 12.00 , 1.00 ," 9,664.11 "," (20,312.63)",0,N/A," (10,648.52)", -   , -   , -   , -   ,,,,,,,,
1313001567,Priyamkara Chakrabarti,6/9/2004,5/8/1985,Male,Nagpur,9,682,40k to 60k,Public Sector Employee,Home Loan,2/10/2014,36,20," 562,609.00 ", 11.50 ," (18,552.60)", 19.00 , 15.00 , 4.00 , 1.00 ," 15,628.03 "," (34,180.63)",0,N/A," (18,552.60)", -   , -   , -   , -   ,,,,,,,,
1313001567,Priyamkara Chakrabarti,6/9/2004,5/8/1985,Male,Nagpur,9,704,40k to 60k,Public Sector Employee,Personal Loan,6/10/2014,24,16," 83,451.00 ", 12.50 ," (3,947.84)", 15.00 , 14.00 , 1.00 , 1.00 ," 3,477.13 "," (7,424.97)",0,N/A," (3,947.84)", -   , -   , -   , -   ,,,,,,,,
1313001582,Ajay Bhat,4/3/2006,8/27/1982,Male,Nagpur,19,754,60k to 100k,Private Sector Employee,Auto Loan,5/1/2014,18,17," 475,553.00 ", 10.50 ," (28,669.93)", 15.00 , 2.00 , 13.00 , 2.00 ," 52,839.22 "," (110,179.08)",0,N/A, -   ," (57,339.86)", -   , -   , -   ,,,,,,,,
1313001582,Ajay Bhat,4/3/2006,8/27/1982,Male,Nagpur,17,762,60k to 100k,Private Sector Employee,Personal Loan,2/25/2014,36,20," 127,962.00 ", 12.50 ," (4,280.79)", 18.00 , 3.00 , 15.00 , 2.00 ," 7,109.00 "," (15,670.59)",0,N/A, -   ," (8,561.59)", -   , -   , -   ,,,,,,,,
1313001597,Sunreet Bhagat,7/10/2003,10/4/1995,Male,Nagpur,16,738,100k to 200k,Bussiness Owner,Home Loan,3/15/2013,18,31," 575,799.00 ", 11.50 ," (34,979.81)", 30.00 , 19.00 , 11.00 , 1.00 ," 31,988.83 "," (66,968.65)",0,N/A," (34,979.81)", -   , -   , -   , -   ,,,,,,,,
1313001597,Sunreet Bhagat,7/10/2003,10/4/1995,Male,Nagpur,16,786,100k to 200k,Bussiness Owner,Personal Loan,10/18/2014,24,12," 132,307.00 ", 12.50 ," (6,259.09)", 10.00 , 7.00 , 3.00 , 2.00 ," 11,025.58 "," (23,543.76)",0,N/A, -   ," (12,518.18)", -   , -   , -   ,,,,,,,,
1313001612,Kotari Kalla,7/2/2014,11/2/1966,Female,Nagpur,0,900,upto 15000,Private Sector Employee,Home Loan,1/14/2014,18,21," 575,270.00 ", 11.50 ," (34,947.68)", 19.00 , 9.00 , 10.00 , 2.00 ," 63,918.89 "," (133,814.24)",0,N/A, -   ," (69,895.35)", -   , -   , -   ,,,,,,,,
1313001612,Kotari Kalla,7/2/2014,11/2/1966,Female,Nagpur,5,560,upto 15000,Private Sector Employee,Personal Loan,6/28/2013,30,28," 123,220.00 ", 12.50 ," (4,803.66)", 26.00 , 23.00 , 3.00 , 2.00 ," 8,214.67 "," (17,821.98)",0,N/A, -   ," (9,607.32)", -   , -   , -   ,,,,,,,,
1313001627,Kritanta Chakrabarti,4/9/2005,5/23/1973,Male,Nagpur,0,900,upto 15000,Private Sector Employee,Home Loan,5/8/2015,18,5," 589,209.00 ", 11.50 ," (35,794.47)", 3.00 , 1.00 , 2.00 , 2.00 ," 65,467.67 "," (137,056.61)",0,N/A, -   ," (71,588.94)", -   , -   , -   ,,,,,,,,
1313001627,Kritanta Chakrabarti,4/9/2005,5/23/1973,Male,Nagpur,8,825,upto 15000,Private Sector Employee,Personal Loan,3/27/2014,18,19," 102,040.00 ", 12.50 ," (6,246.33)", 17.00 , 7.00 , 10.00 , 2.00 ," 11,337.78 "," (23,830.45)",0,N/A, -   ," (12,492.67)", -   , -   , -   ,,,,,,,,
1313001642,Tathagata Patil,7/30/2011,10/3/1989,Male,Nagpur,16,743,upto 15000,Private Sector Employee,Auto Loan,2/20/2015,30,8," 391,410.00 ", 10.50 ," (14,890.92)", 8.00 , -   , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001642,Tathagata Patil,7/30/2011,10/3/1989,Male,Nagpur,15,750,upto 15000,Private Sector Employee,Personal Loan,12/23/2013,30,22," 117,500.00 ", 12.50 ," (4,580.67)", 21.00 , 11.00 , 10.00 , 1.00 ," 3,916.67 "," (8,497.33)",0,N/A," (4,580.67)", -   , -   , -   , -   ,,,,,,,,
1313001657,Rudra Chacko,11/8/2010,4/1/1968,Male,Nagpur,1,867,upto 15000,Private Sector Employee,Auto Loan,1/24/2013,24,33," 280,086.00 ", 10.50 ," (12,989.28)", 31.00 , 13.00 , 18.00 , 2.00 ," 23,340.50 "," (49,319.06)",0,N/A, -   ," (25,978.56)", -   , -   , -   ,,,,,,,,
1313001657,Rudra Chacko,11/8/2010,4/1/1968,Male,Nagpur,19,596,upto 15000,Private Sector Employee,Personal Loan,7/5/2014,36,15," 184,769.00 ", 12.50 ," (6,181.19)", 14.00 , 1.00 , 13.00 , 1.00 ," 5,132.47 "," (11,313.67)",0,N/A," (6,181.19)", -   , -   , -   , -   ,,,,,,,,
1313001672,Gadhi Kapadia,8/15/2003,2/13/1967,Female,Nagpur,6,677,40k to 60k,Public Sector Employee,Auto Loan,10/15/2013,18,24," 423,668.00 ", 10.50 ," (25,541.91)", 21.00 , 9.00 , 12.00 , 3.00 ," 70,611.33 "," (147,237.06)",0,N/A, -   , -   ," (76,625.72)", -   , -   ,,,,,,,,
1313001672,Gadhi Kapadia,8/15/2003,2/13/1967,Female,Nagpur,7,646,40k to 60k,Public Sector Employee,Personal Loan,6/5/2015,18,4," 145,664.00 ", 12.50 ," (8,916.76)", 2.00 , 2.00 , -   , 2.00 ," 16,184.89 "," (34,018.41)",0,N/A, -   ," (17,833.52)", -   , -   , -   ,,,,,,,,
1313001687,Jafar Bhagat,7/15/2015,2/10/1973,Male,Nagpur,13,601,15k to 25k,Small Bussiness Owner,Auto Loan,12/31/2013,30,22," 266,257.00 ", 10.50 ," (10,129.56)", 22.00 , 18.00 , 4.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001687,Jafar Bhagat,7/15/2015,2/10/1973,Male,Nagpur,16,681,15k to 25k,Small Bussiness Owner,Personal Loan,10/4/2014,24,12," 51,034.00 ", 12.50 ," (2,414.28)", 10.00 , 2.00 , 8.00 , 2.00 ," 4,252.83 "," (9,081.40)",0,N/A, -   ," (4,828.56)", -   , -   , -   ,,,,,,,,
1313001702,Ahriman Raju,1/17/2003,5/20/1981,Male,Nagpur,5,517,60k to 100k,Private Sector Employee,Home Loan,5/5/2014,18,17," 681,163.00 ", 11.50 ," (41,380.68)", 16.00 , 16.00 , -   , 1.00 ," 37,842.39 "," (79,223.07)",0,N/A," (41,380.68)", -   , -   , -   , -   ,,,,,,,,
1313001702,Ahriman Raju,1/17/2003,5/20/1981,Male,Nagpur,17,546,60k to 100k,Private Sector Employee,Personal Loan,9/29/2014,30,13," 198,622.00 ", 12.50 ," (7,743.16)", 12.00 , 8.00 , 4.00 , 1.00 ," 6,620.73 "," (14,363.89)",0,N/A," (7,743.16)", -   , -   , -   , -   ,,,,,,,,
1313001717,Jivin Gokhale,4/14/2005,8/3/1961,Male,Nagpur,2,539,60k to 100k,Private Sector Employee,Auto Loan,1/1/2013,18,33," 450,469.00 ", 10.50 ," (27,157.67)", 33.00 , 25.00 , 8.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001717,Jivin Gokhale,4/14/2005,8/3/1961,Male,Nagpur,12,598,60k to 100k,Private Sector Employee,Personal Loan,12/11/2014,18,10," 134,766.00 ", 12.50 ," (8,249.64)", 8.00 , 8.00 , -   , 2.00 ," 14,974.00 "," (31,473.28)",0,N/A, -   ," (16,499.28)", -   , -   , -   ,,,,,,,,
1313001732,Pandu Philip,3/9/2010,4/27/1968,Female,Nagpur,19,504,100k to 200k,Bussiness Owner,Auto Loan,9/14/2014,18,13," 273,257.00 ", 10.50 ," (16,474.00)", 11.00 , 11.00 , -   , 2.00 ," 30,361.89 "," (63,309.88)",0,N/A, -   ," (32,947.99)", -   , -   , -   ,,,,,,,,
1313001732,Pandu Philip,3/9/2010,4/27/1968,Female,Nagpur,11,636,100k to 200k,Bussiness Owner,Personal Loan,4/28/2013,24,30," 93,448.00 ", 12.50 ," (4,420.77)", 30.00 , 6.00 , 24.00 , -   , -   , -   ,0,N/A, -   , -   , -   , -   , -   ,,,,,,,,
1313001747,Tathagata Bera,7/31/2001,8/19/1995,Male,Nagpur,4,823,25k to 40k,Private Sector Employee,Home Loan,8/7/2014,24,14," 573,731.00 ", 11.50 ," (26,873.74)", 13.00 , 3.00 , 10.00 , 1.00 ," 23,905.46 "," (50,779.20)",0,N/A," (26,873.74)", -   , -   , -   , -   ,,,,,,,,
